stage_sample,Helper T cells,Naïve T cells,NK cells,CD8+ T cells,Exhausted T cells,Regulator T cells,CD4+ T cells,stage
II_AK4296,39.39393939393939,10.26936026936027,13.468013468013469,8.080808080808081,2.861952861952862,5.3872053872053876,1.6835016835016836,II
II_AK4297,40.166666666666664,10.333333333333334,13.166666666666666,8.166666666666666,3.1666666666666665,4.666666666666667,1.5,II
II_AK4298,39.56594323873122,10.35058430717863,13.18864774624374,8.013355592654424,3.33889816360601,5.008347245409015,1.669449081803005,II
II_AK576,0.02189621195533173,10.40070067878257,0.0,0.0,0.1532734836873221,0.04379242391066346,0.7663674184366105,II
II_BT1A,15.0,3.611111111111111,5.0,8.333333333333334,20.833333333333332,4.444444444444445,2.2222222222222223,II
II_BT1B,14.970059880239521,2.9940119760479043,3.8922155688622753,7.485029940119761,18.862275449101798,3.8922155688622753,2.694610778443114,II
II_BT1C,15.232974910394265,2.867383512544803,5.017921146953405,11.290322580645162,16.129032258064516,2.867383512544803,2.3297491039426523,II
I_2018jz11,16.154247003647733,2.136529442417926,4.872329338196978,21.156852527357998,11.22980719124544,1.9541427826993225,4.9504950495049505,I
I_2018jz12,14.0625,1.1986301369863013,19.627568493150687,5.029965753424658,19.948630136986303,6.314212328767123,2.3116438356164384,I
I_2018jz46,9.790681971640783,1.6205266711681297,7.427413909520594,4.591492234976367,5.941931127616475,4.186360567184335,1.4179608372721135,I
I_AK658,15.208655332302937,3.2457496136012365,7.604327666151469,13.013910355486862,10.510046367851622,21.823802163833076,1.2982998454404946,I
I_AK659,15.544871794871796,3.2371794871794872,7.628205128205129,12.051282051282051,10.64102564102564,21.506410256410255,1.3782051282051282,I
I_AK660,14.873140857392826,3.499562554680665,7.640711577719451,14.348206474190727,10.177894429862933,21.25984251968504,1.6331291921843103,I
I_AK661,14.488320355951057,3.337041156840934,7.397107897664071,15.795328142380423,10.344827586206897,20.967741935483872,1.6129032258064515,I
I_BT1375,8.999280057595392,2.3038156947444204,7.847372210223182,4.175665946724262,5.759539236861051,2.735781137508999,2.735781137508999,I
I_BT1376,7.335581787521079,2.5295109612141653,4.1315345699831365,3.5413153456998314,3.6256323777403034,3.1197301854974704,3.709949409780776,I
I_BT1377,12.914485165794066,2.6178010471204187,3.6649214659685865,5.2356020942408374,4.537521815008726,3.8394415357766145,4.013961605584642,I
I_BT2A,11.047619047619047,2.2857142857142856,8.952380952380953,5.523809523809524,7.238095238095238,4.380952380952381,0.19047619047619047,I
I_BT2B,7.9962370649106305,2.8222013170272815,3.762935089369708,4.421448730009407,4.233301975540922,2.257761053621825,0.28222013170272814,I
Norm_2018jz14,4.9501292944218696,0.7018840044329516,20.68710749907647,3.546361285555966,2.7705947543405984,3.066124861470262,2.3642408570373106,Norm
Norm_2018jz15,27.345309381237524,2.1207584830339323,36.00299401197605,2.9940119760479043,8.058882235528943,1.3223552894211577,4.091816367265469,Norm
Norm_2018jz36,7.568807339449541,1.0321100917431192,57.3394495412844,7.740825688073395,4.644495412844036,0.573394495412844,3.3256880733944953,Norm
Norm_2018jz39,22.2692633361558,2.8789161727349706,24.64013547840813,7.790008467400508,11.769686706181202,2.4555461473327687,3.979678238780694,Norm
Norm_2018jz47,5.7704502219403935,0.6975269499048827,36.715282181357004,3.4876347495244135,3.170577045022194,0.19023462270133165,1.2048192771084338,Norm
Norm_2018jz5,9.369837148926127,1.4160962945480293,18.22043898985131,3.2098182676422,3.280623082369601,0.3304224687278735,1.6049091338211,Norm
Norm_AK3714,17.985611510791365,3.237410071942446,41.36690647482014,10.431654676258994,3.237410071942446,1.079136690647482,1.079136690647482,Norm
Norm_AK3715,17.793594306049823,3.5587188612099645,40.569395017793596,9.9644128113879,3.9145907473309607,1.0676156583629892,1.0676156583629892,Norm
Norm_AK3716,17.985611510791365,4.316546762589928,41.007194244604314,10.071942446043165,3.597122302158273,0.7194244604316546,1.079136690647482,Norm
Norm_AK650,20.153211549793753,2.121390689451974,23.09958750736594,8.780200353565116,6.599882144961697,5.715969357690041,2.7106658809664115,Norm
Norm_AK651,19.872537659327925,2.2595596755504057,22.711471610660485,8.400926998841252,6.662804171494786,5.619930475086906,3.3603707995365006,Norm
Norm_AK652,19.834221432800472,2.664298401420959,22.85375962107756,8.466548253404381,6.631142687981054,5.802249851983422,2.782711663706335,Norm
Norm_AK653,19.519175729822553,2.404121350887235,22.49570692615913,8.242701774470522,6.7544361763022325,5.724098454493418,3.606182026330853,Norm
Norm_AK831,31.095100864553313,2.680115273775216,21.988472622478387,6.685878962536023,13.573487031700289,5.043227665706052,4.956772334293948,Norm
Norm_AK832,30.76923076923077,2.7472527472527473,22.093695777906305,6.853672643146328,13.302486986697513,4.973973395026027,5.234239444765761,Norm
Norm_AK833,30.826397146254457,2.7348394768133173,22.175980975029727,6.450653983353151,13.40665873959572,4.9940546967895365,5.0832342449464925,Norm
Norm_AK834,30.70430733410943,2.6775320139697323,22.20605355064028,6.69383003492433,13.38766006984866,5.180442374854482,5.267753201396973,Norm
Norm_BT1247,8.960573476702509,5.017921146953405,16.129032258064516,2.867383512544803,0.35842293906810035,1.075268817204301,0.7168458781362007,Norm
Norm_BT1378,13.627489262007028,1.015228426395939,17.21983600156189,5.544709098008591,2.8504490433424445,0.46856696602889497,4.412338930105427,Norm
